ticker,name_en,sector,week52_high,week52_high_date,week52_low,week52_low_date,latest_close,latest_close_date,trading_days_used,period_start,period_end,range_pct,position_in_range_pct,source_name,source_type,retrieval_date,effective_period,transformation_logic,confidence,verification_status
1010,Riyad Bank,Banks,46.20,2025-03-15,25.30,2025-11-26,28.64,2026-03-12,208,2025-03-15,2026-03-12,82.61,15.98,stock_prices table (yahoo_finance records only),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window excluding test_batch source,high,validated_spot_checked
1020,Bank Aljazira,Banks,14.19,2025-03-18,10.81,2025-12-28,11.28,2026-03-12,231,2025-03-13,2026-03-12,31.27,13.91,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1030,Saudi Investment Bank,Banks,15.28,2025-04-24,12.50,2026-03-05,12.94,2026-03-12,231,2025-03-13,2026-03-12,22.24,15.83,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1050,Banque Saudi Fransi,Banks,19.70,2026-03-12,15.49,2025-11-26,19.42,2026-03-12,231,2025-03-13,2026-03-12,27.18,93.35,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1060,Saudi Awwal Bank,Banks,38.00,2025-03-27,29.90,2025-09-09,35.60,2026-03-12,231,2025-03-13,2026-03-12,27.09,70.37,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1080,Arab National Bank,Banks,26.26,2025-10-05,19.50,2025-04-07,20.85,2026-03-12,231,2025-03-13,2026-03-12,34.67,19.97,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1111,Saudi Tadawul Group,Financial Services,215.00,2025-10-06,129.20,2026-03-05,139.10,2026-03-12,231,2025-03-13,2026-03-12,66.41,11.54,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1120,Al Rajhi Bank,Banks,110.00,2025-10-30,87.80,2025-06-01,101.20,2026-03-12,231,2025-03-13,2026-03-12,25.28,60.36,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated_spot_checked
1140,Bank Albilad,Banks,31.67,2025-03-24,23.38,2025-06-18,26.28,2026-03-12,231,2025-03-13,2026-03-12,35.46,34.98,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1150,Alinma Bank,Banks,31.30,2025-03-27,23.94,2025-11-26,28.32,2026-03-12,231,2025-03-13,2026-03-12,30.74,59.51,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1180,Saudi National Bank,Banks,45.24,2026-01-29,31.55,2025-04-07,40.54,2026-03-12,231,2025-03-13,2026-03-12,43.39,65.67,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1182,Amlak International,Financial Services,13.90,2025-11-02,9.30,2025-06-15,10.25,2026-03-12,231,2025-03-13,2026-03-12,49.46,20.65,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1183,SHL Finance,Financial Services,24.90,2025-07-22,13.40,2026-03-05,13.98,2026-03-12,231,2025-03-13,2026-03-12,85.82,5.04,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1211,Ma'aden,Materials,79.90,2026-01-27,37.85,2025-04-07,69.50,2026-03-12,231,2025-03-13,2026-03-12,111.10,75.27,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1302,Bawan,Materials,61.85,2025-08-27,41.60,2026-03-05,42.50,2026-03-12,231,2025-03-13,2026-03-12,48.68,4.44,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1320,Saudi Steel Pipe,Materials,64.40,2025-03-13,35.90,2026-01-06,37.22,2026-03-12,231,2025-03-13,2026-03-12,79.39,4.63,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1321,East Pipes,Materials,158.00,2026-01-28,100.20,2025-06-15,133.70,2026-03-12,231,2025-03-13,2026-03-12,57.68,57.96,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1322,AMAK,Materials,117.50,2026-01-29,46.80,2025-04-07,90.40,2026-03-12,231,2025-03-13,2026-03-12,151.07,61.67,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,high,validated
1830,Leejam Sports,Consumer Services,160.00,2025-03-17,77.30,2026-03-05,84.15,2026-03-11,230,2025-03-13,2026-03-11,106.99,8.28,stock_prices table (yahoo_finance),database_computed,2026-03-13,trailing_52_weeks,MAX(high) and MIN(low) over 365-day window,medium,flagged_22pct_gap
